2018/01/04 00:00 UPDATE,,
,,
DATE,TIME,(kW)
1/1/2017,0:00,293
1/1/2017,1:00,299
1/1/2017,2:00,312
1/1/2017,3:00,315
1/1/2017,4:00,306
1/1/2017,5:00,284
1/1/2017,6:00,260
1/1/2017,7:00,253
1/1/2017,8:00,262
1/1/2017,9:00,248
1/1/2017,10:00,234
1/1/2017,11:00,229
1/1/2017,12:00,227
1/1/2017,13:00,222
1/1/2017,14:00,218
1/1/2017,15:00,230
1/1/2017,16:00,245
1/1/2017,17:00,272
1/1/2017,18:00,288
1/1/2017,19:00,287
1/1/2017,20:00,286
1/1/2017,21:00,281
1/1/2017,22:00,270
1/1/2017,23:00,268
1/2/2017,0:00,270
1/2/2017,1:00,281
1/2/2017,2:00,300
1/2/2017,3:00,306
1/2/2017,4:00,299
1/2/2017,5:00,281
1/2/2017,6:00,265
1/2/2017,7:00,264
1/2/2017,8:00,287
1/2/2017,9:00,291
1/2/2017,10:00,281
1/2/2017,11:00,267
1/2/2017,12:00,244
1/2/2017,13:00,241
1/2/2017,14:00,254
1/2/2017,15:00,252
1/2/2017,16:00,270
1/2/2017,17:00,300
1/2/2017,18:00,310
1/2/2017,19:00,306
1/2/2017,20:00,298
1/2/2017,21:00,281
1/2/2017,22:00,266
1/2/2017,23:00,259
1/3/2017,0:00,257
1/3/2017,1:00,268
1/3/2017,2:00,287
1/3/2017,3:00,298
1/3/2017,4:00,295
1/3/2017,5:00,276
1/3/2017,6:00,254
1/3/2017,7:00,252
1/3/2017,8:00,267
1/3/2017,9:00,255
1/3/2017,10:00,245
1/3/2017,11:00,241
1/3/2017,12:00,240
1/3/2017,13:00,232
1/3/2017,14:00,234
1/3/2017,15:00,242
1/3/2017,16:00,257
1/3/2017,17:00,287
1/3/2017,18:00,302
1/3/2017,19:00,301
1/3/2017,20:00,296
1/3/2017,21:00,289
1/3/2017,22:00,275
1/3/2017,23:00,270
1/4/2017,0:00,269
1/4/2017,1:00,282
1/4/2017,2:00,305
1/4/2017,3:00,316
1/4/2017,4:00,313
1/4/2017,5:00,300
1/4/2017,6:00,292
1/4/2017,7:00,302
1/4/2017,8:00,325
1/4/2017,9:00,318
1/4/2017,10:00,301
1/4/2017,11:00,298
1/4/2017,12:00,287
1/4/2017,13:00,289
1/4/2017,14:00,285
1/4/2017,15:00,292
1/4/2017,16:00,303
1/4/2017,17:00,327
1/4/2017,18:00,335
1/4/2017,19:00,329
1/4/2017,20:00,319
1/4/2017,21:00,300
1/4/2017,22:00,280
1/4/2017,23:00,272
1/5/2017,0:00,269
1/5/2017,1:00,284
1/5/2017,2:00,307
1/5/2017,3:00,319
1/5/2017,4:00,320
1/5/2017,5:00,310
1/5/2017,6:00,314
1/5/2017,7:00,326
1/5/2017,8:00,361
1/5/2017,9:00,364
1/5/2017,10:00,362
1/5/2017,11:00,362
1/5/2017,12:00,344
1/5/2017,13:00,361
1/5/2017,14:00,359
1/5/2017,15:00,362
1/5/2017,16:00,377
1/5/2017,17:00,392
1/5/2017,18:00,395
1/5/2017,19:00,381
1/5/2017,20:00,366
1/5/2017,21:00,344
1/5/2017,22:00,316
1/5/2017,23:00,300
1/6/2017,0:00,292
1/6/2017,1:00,303
1/6/2017,2:00,325
1/6/2017,3:00,334
1/6/2017,4:00,335
1/6/2017,5:00,326
1/6/2017,6:00,334
1/6/2017,7:00,352
1/6/2017,8:00,400
1/6/2017,9:00,406
1/6/2017,10:00,371
1/6/2017,11:00,372
1/6/2017,12:00,354
1/6/2017,13:00,368
1/6/2017,14:00,362
1/6/2017,15:00,367
1/6/2017,16:00,383
1/6/2017,17:00,396
1/6/2017,18:00,405
1/6/2017,19:00,389
1/6/2017,20:00,373
1/6/2017,21:00,352
1/6/2017,22:00,326
1/6/2017,23:00,317
1/7/2017,0:00,312
1/7/2017,1:00,322
1/7/2017,2:00,340
1/7/2017,3:00,348
1/7/2017,4:00,341
1/7/2017,5:00,326
1/7/2017,6:00,322
1/7/2017,7:00,338
1/7/2017,8:00,371
1/7/2017,9:00,365
