DATE,TIME,(kW)
1/1/2018,0:00,291
1/1/2018,1:00,300
1/1/2018,2:00,315
1/1/2018,3:00,319
1/1/2018,4:00,311
1/1/2018,5:00,291
1/1/2018,6:00,268
1/1/2018,7:00,266
1/1/2018,8:00,282
1/1/2018,9:00,264
1/1/2018,10:00,254
1/1/2018,11:00,245
1/1/2018,12:00,240
1/1/2018,13:00,235
1/1/2018,14:00,233
1/1/2018,15:00,240
1/1/2018,16:00,258
1/1/2018,17:00,293
1/1/2018,18:00,306
1/1/2018,19:00,306
1/1/2018,20:00,306
1/1/2018,21:00,298
1/1/2018,22:00,285
1/1/2018,23:00,281
1/2/2018,0:00,279
1/2/2018,1:00,287
1/2/2018,2:00,304
1/2/2018,3:00,310
1/2/2018,4:00,304
1/2/2018,5:00,286
1/2/2018,6:00,271
1/2/2018,7:00,275
1/2/2018,8:00,290
1/2/2018,9:00,278
1/2/2018,10:00,265
1/2/2018,11:00,256
1/2/2018,12:00,251
1/2/2018,13:00,245
1/2/2018,14:00,242
1/2/2018,15:00,249
1/2/2018,16:00,267
1/2/2018,17:00,301
1/2/2018,18:00,315
1/2/2018,19:00,313
1/2/2018,20:00,311
1/2/2018,21:00,302
1/2/2018,22:00,285
1/2/2018,23:00,279
1/3/2018,0:00,277
1/3/2018,1:00,286
1/3/2018,2:00,300
1/3/2018,3:00,305
1/3/2018,4:00,299
1/3/2018,5:00,283
1/3/2018,6:00,265
1/3/2018,7:00,268
1/3/2018,8:00,287
1/3/2018,9:00,282
1/3/2018,10:00,276
1/3/2018,11:00,269
1/3/2018,12:00,264
1/3/2018,13:00,259
1/3/2018,14:00,258
1/3/2018,15:00,266
1/3/2018,16:00,288
1/3/2018,17:00,323
1/3/2018,18:00,338
1/3/2018,19:00,335
1/3/2018,20:00,332
1/3/2018,21:00,323
1/3/2018,22:00,303
1/3/2018,23:00,302
1/4/2018,0:00,302
1/4/2018,1:00,313
1/4/2018,2:00,329
1/4/2018,3:00,331
1/4/2018,4:00,322
1/4/2018,5:00,311
1/4/2018,6:00,319
1/4/2018,7:00,341
1/4/2018,8:00,363
1/4/2018,9:00,350
1/4/2018,10:00,338
1/4/2018,11:00,332
1/4/2018,12:00,322
1/4/2018,13:00,319
1/4/2018,14:00,312
1/4/2018,15:00,322
1/4/2018,16:00,341
1/4/2018,17:00,364
1/4/2018,18:00,376
1/4/2018,19:00,369
1/4/2018,20:00,357
1/4/2018,21:00,339
1/4/2018,22:00,311
1/4/2018,23:00,302
1/5/2018,0:00,300
1/5/2018,1:00,309
1/5/2018,2:00,325
1/5/2018,3:00,330
1/5/2018,4:00,326
1/5/2018,5:00,319
1/5/2018,6:00,329
1/5/2018,7:00,356
1/5/2018,8:00,412
1/5/2018,9:00,436
1/5/2018,10:00,433
1/5/2018,11:00,431
1/5/2018,12:00,410
1/5/2018,13:00,420
1/5/2018,14:00,408
1/5/2018,15:00,405
1/5/2018,16:00,416
1/5/2018,17:00,428
1/5/2018,18:00,433
1/5/2018,19:00,421
1/5/2018,20:00,406
1/5/2018,21:00,383
1/5/2018,22:00,355
1/5/2018,23:00,344
1/6/2018,0:00,332
1/6/2018,1:00,335
1/6/2018,2:00,347
1/6/2018,3:00,348
1/6/2018,4:00,342
1/6/2018,5:00,331
1/6/2018,6:00,329
1/6/2018,7:00,346
1/6/2018,8:00,384
1/6/2018,9:00,384
1/6/2018,10:00,368
1/6/2018,11:00,361
1/6/2018,12:00,341
1/6/2018,13:00,345
1/6/2018,14:00,342
1/6/2018,15:00,346
1/6/2018,16:00,361
1/6/2018,17:00,381
1/6/2018,18:00,389
1/6/2018,19:00,377
1/6/2018,20:00,366
1/6/2018,21:00,348
1/6/2018,22:00,324
1/6/2018,23:00,317
1/7/2018,0:00,316
1/7/2018,1:00,329
1/7/2018,2:00,349
1/7/2018,3:00,351
1/7/2018,4:00,343
1/7/2018,5:00,323
1/7/2018,6:00,310
1/7/2018,7:00,313
1/7/2018,8:00,331
1/7/2018,9:00,325
1/7/2018,10:00,317
1/7/2018,11:00,305
1/7/2018,12:00,303
1/7/2018,13:00,296
1/7/2018,14:00,288
1/7/2018,15:00,299
1/7/2018,16:00,318
1/7/2018,17:00,353
1/7/2018,18:00,363
1/7/2018,19:00,355
1/7/2018,20:00,346
1/7/2018,21:00,327
1/7/2018,22:00,304
1/7/2018,23:00,295
1/8/2018,0:00,291
1/8/2018,1:00,299
1/8/2018,2:00,318
1/8/2018,3:00,326
1/8/2018,4:00,324
1/8/2018,5:00,309
1/8/2018,6:00,297
1/8/2018,7:00,304
1/8/2018,8:00,345
1/8/2018,9:00,365
1/8/2018,10:00,370
1/8/2018,11:00,361
1/8/2018,12:00,347
1/8/2018,13:00,349
1/8/2018,14:00,344
1/8/2018,15:00,345
1/8/2018,16:00,353
1/8/2018,17:00,371
1/8/2018,18:00,372
1/8/2018,19:00,360
1/8/2018,20:00,345
1/8/2018,21:00,324
1/8/2018,22:00,297
1/8/2018,23:00,287
1/9/2018,0:00,280
1/9/2018,1:00,292
1/9/2018,2:00,315
1/9/2018,3:00,327
1/9/2018,4:00,328
1/9/2018,5:00,323
1/9/2018,6:00,335
1/9/2018,7:00,357
1/9/2018,8:00,401
1/9/2018,9:00,407
1/9/2018,10:00,403
1/9/2018,11:00,398
1/9/2018,12:00,376
1/9/2018,13:00,395
1/9/2018,14:00,394
1/9/2018,15:00,396
1/9/2018,16:00,414
1/9/2018,17:00,431
1/9/2018,18:00,439
1/9/2018,19:00,425
1/9/2018,20:00,407
1/9/2018,21:00,381
1/9/2018,22:00,350
1/9/2018,23:00,338
1/10/2018,0:00,330
1/10/2018,1:00,337
1/10/2018,2:00,353
1/10/2018,3:00,361
1/10/2018,4:00,356
1/10/2018,5:00,352
1/10/2018,6:00,372
1/10/2018,7:00,391
1/10/2018,8:00,427
1/10/2018,9:00,432
1/10/2018,10:00,420
1/10/2018,11:00,414
1/10/2018,12:00,395
1/10/2018,13:00,413
1/10/2018,14:00,411
1/10/2018,15:00,414
1/10/2018,16:00,433
1/10/2018,17:00,446
1/10/2018,18:00,452
1/10/2018,19:00,439
1/10/2018,20:00,422
1/10/2018,21:00,395
1/10/2018,22:00,367
1/10/2018,23:00,359
1/11/2018,0:00,353
1/11/2018,1:00,360
1/11/2018,2:00,374
1/11/2018,3:00,380
1/11/2018,4:00,375
1/11/2018,5:00,367
1/11/2018,6:00,393
1/11/2018,7:00,418
1/11/2018,8:00,459
1/11/2018,9:00,465
1/11/2018,10:00,460
1/11/2018,11:00,452
1/11/2018,12:00,427
1/11/2018,13:00,438
1/11/2018,14:00,440
1/11/2018,15:00,442
1/11/2018,16:00,463
1/11/2018,17:00,484
1/11/2018,18:00,492
1/11/2018,19:00,477
1/11/2018,20:00,459
1/11/2018,21:00,430
1/11/2018,22:00,393
1/11/2018,23:00,384
1/12/2018,0:00,375
1/12/2018,1:00,379
1/12/2018,2:00,388
1/12/2018,3:00,388
1/12/2018,4:00,383
1/12/2018,5:00,382
1/12/2018,6:00,410
1/12/2018,7:00,434
1/12/2018,8:00,470
1/12/2018,9:00,468
1/12/2018,10:00,454
1/12/2018,11:00,449
1/12/2018,12:00,425
1/12/2018,13:00,435
1/12/2018,14:00,427
1/12/2018,15:00,429
1/12/2018,16:00,452
1/12/2018,17:00,474
1/12/2018,18:00,485
1/12/2018,19:00,470
1/12/2018,20:00,452
1/12/2018,21:00,427
1/12/2018,22:00,393
1/12/2018,23:00,388
1/13/2018,0:00,379
1/13/2018,1:00,381
1/13/2018,2:00,388
1/13/2018,3:00,387
1/13/2018,4:00,377
1/13/2018,5:00,364
1/13/2018,6:00,369
1/13/2018,7:00,390
1/13/2018,8:00,428
1/13/2018,9:00,428
1/13/2018,10:00,412
1/13/2018,11:00,400
1/13/2018,12:00,383
1/13/2018,13:00,386
1/13/2018,14:00,383
1/13/2018,15:00,383
1/13/2018,16:00,402
1/13/2018,17:00,425
1/13/2018,18:00,434
1/13/2018,19:00,423
1/13/2018,20:00,409
1/13/2018,21:00,387
1/13/2018,22:00,361
1/13/2018,23:00,357
1/14/2018,0:00,356
1/14/2018,1:00,362
1/14/2018,2:00,374
1/14/2018,3:00,373
1/14/2018,4:00,363
1/14/2018,5:00,344
