    DATE,TIME,(kW)
1/1/2021,0:00,329
1/1/2021,1:00,327
1/1/2021,2:00,333
1/1/2021,3:00,331
1/1/2021,4:00,320
1/1/2021,5:00,299
1/1/2021,6:00,281
1/1/2021,7:00,286
1/1/2021,8:00,308
1/1/2021,9:00,294
1/1/2021,10:00,278
1/1/2021,11:00,266
1/1/2021,12:00,264
1/1/2021,13:00,254
1/1/2021,14:00,254
1/1/2021,15:00,263
1/1/2021,16:00,286
1/1/2021,17:00,325
1/1/2021,18:00,338
1/1/2021,19:00,336
1/1/2021,20:00,333
1/1/2021,21:00,322
1/1/2021,22:00,302
1/1/2021,23:00,301
1/2/2021,0:00,296
1/2/2021,1:00,299
1/2/2021,2:00,311
1/2/2021,3:00,314
1/2/2021,4:00,308
1/2/2021,5:00,290
1/2/2021,6:00,273
1/2/2021,7:00,277
1/2/2021,8:00,311
1/2/2021,9:00,294
1/2/2021,10:00,280
1/2/2021,11:00,271
1/2/2021,12:00,266
1/2/2021,13:00,267
1/2/2021,14:00,266
1/2/2021,15:00,278
1/2/2021,16:00,297
1/2/2021,17:00,330
1/2/2021,18:00,341
1/2/2021,19:00,337
1/2/2021,20:00,331
1/2/2021,21:00,318
1/2/2021,22:00,297
1/2/2021,23:00,295
1/3/2021,0:00,291
1/3/2021,1:00,296
1/3/2021,2:00,312
1/3/2021,3:00,317
1/3/2021,4:00,311
1/3/2021,5:00,293
1/3/2021,6:00,276
1/3/2021,7:00,283
1/3/2021,8:00,308
1/3/2021,9:00,304
1/3/2021,10:00,287
1/3/2021,11:00,281
1/3/2021,12:00,263
1/3/2021,13:00,256
1/3/2021,14:00,258
1/3/2021,15:00,266
1/3/2021,16:00,287
1/3/2021,17:00,330
1/3/2021,18:00,344
1/3/2021,19:00,343
1/3/2021,20:00,338
1/3/2021,21:00,323
1/3/2021,22:00,298
1/3/2021,23:00,293
1/4/2021,0:00,289
1/4/2021,1:00,296
1/4/2021,2:00,313
1/4/2021,3:00,319
1/4/2021,4:00,314
1/4/2021,5:00,305
1/4/2021,6:00,310
1/4/2021,7:00,330
1/4/2021,8:00,367
1/4/2021,9:00,352
1/4/2021,10:00,325
1/4/2021,11:00,313
1/4/2021,12:00,298
1/4/2021,13:00,294
1/4/2021,14:00,291
1/4/2021,15:00,303
1/4/2021,16:00,325
1/4/2021,17:00,358
1/4/2021,18:00,373
1/4/2021,19:00,370
1/4/2021,20:00,361
