DATE,TIME,(kW)
1/1/2017,0:00,879
1/1/2017,1:00,885
1/1/2017,2:00,905
1/1/2017,3:00,918
1/1/2017,4:00,919
1/1/2017,5:00,902
1/1/2017,6:00,855
1/1/2017,7:00,798
1/1/2017,8:00,810
1/1/2017,9:00,790
1/1/2017,10:00,761
1/1/2017,11:00,729
1/1/2017,12:00,716
1/1/2017,13:00,709
1/1/2017,14:00,726
1/1/2017,15:00,755
1/1/2017,16:00,822
1/1/2017,17:00,878
1/1/2017,18:00,868
1/1/2017,19:00,853
1/1/2017,20:00,844
1/1/2017,21:00,825
1/1/2017,22:00,790
1/1/2017,23:00,804
1/2/2017,0:00,780
1/2/2017,1:00,805
1/2/2017,2:00,842
1/2/2017,3:00,863
1/2/2017,4:00,871
1/2/2017,5:00,862
1/2/2017,6:00,834
1/2/2017,7:00,803
1/2/2017,8:00,837
1/2/2017,9:00,849
1/2/2017,10:00,818
1/2/2017,11:00,790
1/2/2017,12:00,783
1/2/2017,13:00,772
1/2/2017,14:00,774
1/2/2017,15:00,800
1/2/2017,16:00,867
1/2/2017,17:00,917
1/2/2017,18:00,913
1/2/2017,19:00,895
1/2/2017,20:00,868
1/2/2017,21:00,836
1/2/2017,22:00,800
1/2/2017,23:00,807
1/3/2017,0:00,783
1/3/2017,1:00,808
1/3/2017,2:00,843
1/3/2017,3:00,869
1/3/2017,4:00,874
1/3/2017,5:00,872
1/3/2017,6:00,836
1/3/2017,7:00,801
1/3/2017,8:00,847
1/3/2017,9:00,869
1/3/2017,10:00,853
1/3/2017,11:00,843
1/3/2017,12:00,825
1/3/2017,13:00,813
1/3/2017,14:00,802
1/3/2017,15:00,829
1/3/2017,16:00,904
1/3/2017,17:00,961
1/3/2017,18:00,966
1/3/2017,19:00,949
1/3/2017,20:00,923
1/3/2017,21:00,883
1/3/2017,22:00,826
1/3/2017,23:00,838
1/4/2017,0:00,810
1/4/2017,1:00,843
1/4/2017,2:00,877
1/4/2017,3:00,899
