DATE,TIME,(kW)
1/1/2022,0:00,324
1/1/2022,1:00,323
1/1/2022,2:00,329
1/1/2022,3:00,330
1/1/2022,4:00,320
1/1/2022,5:00,302
1/1/2022,6:00,286
1/1/2022,7:00,294
1/1/2022,8:00,318
1/1/2022,9:00,295
1/1/2022,10:00,275
1/1/2022,11:00,260
1/1/2022,12:00,251
1/1/2022,13:00,242
1/1/2022,14:00,239
1/1/2022,15:00,249
1/1/2022,16:00,270
1/1/2022,17:00,307
1/1/2022,18:00,321
1/1/2022,19:00,323
1/1/2022,20:00,324
1/1/2022,21:00,319
1/1/2022,22:00,304
1/1/2022,23:00,304
1/2/2022,0:00,302
1/2/2022,1:00,308
1/2/2022,2:00,319
1/2/2022,3:00,324
1/2/2022,4:00,318
1/2/2022,5:00,304
1/2/2022,6:00,291
1/2/2022,7:00,300
1/2/2022,8:00,322
1/2/2022,9:00,307
1/2/2022,10:00,278
1/2/2022,11:00,263
1/2/2022,12:00,251
1/2/2022,13:00,238
1/2/2022,14:00,235
1/2/2022,15:00,245
1/2/2022,16:00,266
1/2/2022,17:00,303
1/2/2022,18:00,320
1/2/2022,19:00,318
1/2/2022,20:00,315
1/2/2022,21:00,303
1/2/2022,22:00,288
1/2/2022,23:00,287
1/3/2022,0:00,284
1/3/2022,1:00,291
1/3/2022,2:00,308
1/3/2022,3:00,317
1/3/2022,4:00,313
1/3/2022,5:00,299
1/3/2022,6:00,285
1/3/2022,7:00,291
1/3/2022,8:00,315
1/3/2022,9:00,313
1/3/2022,10:00,289
1/3/2022,11:00,272
1/3/2022,12:00,257
1/3/2022,13:00,246
1/3/2022,14:00,239
1/3/2022,15:00,249
1/3/2022,16:00,270
1/3/2022,17:00,306
1/3/2022,18:00,323
1/3/2022,19:00,326
1/3/2022,20:00,324
1/3/2022,21:00,311
1/3/2022,22:00,290
1/3/2022,23:00,285
1/4/2022,0:00,281
1/4/2022,1:00,285
1/4/2022,2:00,301
1/4/2022,3:00,309
1/4/2022,4:00,309
1/4/2022,5:00,304
1/4/2022,6:00,308
1/4/2022,7:00,322
1/4/2022,8:00,353
1/4/2022,9:00,349
1/4/2022,10:00,333
1/4/2022,11:00,323
1/4/2022,12:00,318
1/4/2022,13:00,309
1/4/2022,14:00,306
1/4/2022,15:00,313
1/4/2022,16:00,330
1/4/2022,17:00,355
1/4/2022,18:00,365
1/4/2022,19:00,358
1/4/2022,20:00,348
1/4/2022,21:00,329
1/4/2022,22:00,303
1/4/2022,23:00,294
1/5/2022,0:00,288
1/5/2022,1:00,299
1/5/2022,2:00,316
1/5/2022,3:00,329
1/5/2022,4:00,329
1/5/2022,5:00,329
1/5/2022,6:00,342
1/5/2022,7:00,366
1/5/2022,8:00,415
1/5/2022,9:00,409
1/5/2022,10:00,394
1/5/2022,11:00,389
1/5/2022,12:00,377
1/5/2022,13:00,386
1/5/2022,14:00,386
1/5/2022,15:00,387
1/5/2022,16:00,396
1/5/2022,17:00,405
1/5/2022,18:00,410
1/5/2022,19:00,396
1/5/2022,20:00,390
1/5/2022,21:00,357
